ユースケースID,ユースケース機能ID,ユースケース,カテゴリ,アプリ(実データ列),判定理由
UC-0403,UC-EXA-05,インフラ/プラットフォーム管理のIaCの標準テンプレ管理,インフラストラクチャおよびプラットフォーム管理,Exastro ITA Web / Exastro ITA API; GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0404,UC-EXA-06,インフラ/プラットフォーム管理の基盤構成の標準化,インフラストラクチャおよびプラットフォーム管理,Exastro ITA Web / Exastro ITA API; GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0405,UC-EXA-08,インフラ/プラットフォーム管理の構成ドリフト検知,インフラストラクチャおよびプラットフォーム管理,Exastro ITA Web / Exastro ITA API; GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0406,UC-EXA-09,インフラ/プラットフォーム管理の構成リポジトリの保守,インフラストラクチャおよびプラットフォーム管理,Exastro ITA Web / Exastro ITA API; GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0407,UC-EXA-10,インフラ/プラットフォーム管理の構成リポジトリ管理,インフラストラクチャおよびプラットフォーム管理,Exastro ITA Web / Exastro ITA API; GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0408,UC-EXA-11,インフラ/プラットフォーム管理の構成変更の承認,インフラストラクチャおよびプラットフォーム管理,Exastro ITA Web / Exastro ITA API; GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0409,UC-EXA-12,インフラ/プラットフォーム管理の構成変更の承認運用,インフラストラクチャおよびプラットフォーム管理,Exastro ITA Web / Exastro ITA API; GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0410,UC-EXA-13,インフラ/プラットフォーム管理の構成管理の統制,インフラストラクチャおよびプラットフォーム管理,Exastro ITA Web / Exastro ITA API; GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0411,UC-EXA-14,インフラ/プラットフォーム管理の標準テンプレート管理,インフラストラクチャおよびプラットフォーム管理,Exastro ITA Web / Exastro ITA API; GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0412,UC-EXA-15,インフラ/プラットフォーム管理の標準構成審査,インフラストラクチャおよびプラットフォーム管理,Exastro ITA Web / Exastro ITA API; GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0413,UC-EXA-16,インフラ/プラットフォーム管理の運用自動化,インフラストラクチャおよびプラットフォーム管理,Exastro ITA Web / Exastro ITA API; GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0414,UC-EXA-17,インフラ/プラットフォーム管理の運用自動化の導入,インフラストラクチャおよびプラットフォーム管理,Exastro ITA Web / Exastro ITA API; GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0415,UC-GL-539,インフラ/プラットフォーム管理のアラート運用,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0416,UC-GL-543,インフラ/プラットフォーム管理のオペレーション監視,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0417,UC-GL-575,インフラ/プラットフォーム管理のパッチ適用状況の可視化,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0418,UC-GL-577,インフラ/プラットフォーム管理のプラットフォームSLA管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0419,UC-GL-586,インフラ/プラットフォーム管理のメトリクス収集の統一,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0420,UC-GL-595,インフラ/プラットフォーム管理の依存基盤のSLA確認,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0421,UC-GL-601,インフラ/プラットフォーム管理の容量予測,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0422,UC-GL-602,インフラ/プラットフォーム管理の容量予測の更新,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0423,UC-GL-605,インフラ/プラットフォーム管理の復旧時間の測定,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0424,UC-GL-607,インフラ/プラットフォーム管理の性能監視,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0425,UC-GL-619,インフラ/プラットフォーム管理の監視/ログ設計,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0426,UC-GL-620,インフラ/プラットフォーム管理の監視アラートのチューニング,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0427,UC-GL-621,インフラ/プラットフォーム管理の監視指標の標準化,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0428,UC-GL-624,インフラ/プラットフォーム管理の証明書期限監視,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0429,UC-GL-628,インフラ/プラットフォーム管理の運用KPIの定義,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0430,UC-GL-629,インフラ/プラットフォーム管理の運用KPI設計,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0431,UC-GL-630,インフラ/プラットフォーム管理の運用SLOの策定,インフラストラクチャおよびプラットフォーム管理,GitLab; Grafana; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0432,UC-GL-528,インフラ/プラットフォーム管理のBCPの見直し,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0433,UC-GL-529,インフラ/プラットフォーム管理のBCP対応,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0434,UC-GL-530,インフラ/プラットフォーム管理のDNS/証明書更新管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0435,UC-GL-531,インフラ/プラットフォーム管理のDNS/証明書管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0436,UC-GL-532,インフラ/プラットフォーム管理のDR計画策定,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0437,UC-GL-533,インフラ/プラットフォーム管理のDR訓練の計画,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0438,UC-GL-534,インフラ/プラットフォーム管理のID連携/認証基盤連携,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0439,UC-GL-535,インフラ/プラットフォーム管理のKubernetes運用,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0440,UC-GL-536,インフラ/プラットフォーム管理のOS標準化/管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0441,UC-GL-537,インフラ/プラットフォーム管理のアクセス制御設計,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0442,UC-GL-538,インフラ/プラットフォーム管理のアクセス境界の設計,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0443,UC-GL-540,インフラ/プラットフォーム管理のイメージ管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0444,UC-GL-541,インフラ/プラットフォーム管理のインシデント対応準備,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0445,UC-GL-542,インフラ/プラットフォーム管理のインフラ標準化/設計,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0446,UC-GL-544,インフラ/プラットフォーム管理のオンプレリソース管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0447,UC-GL-545,インフラ/プラットフォーム管理のキャッシュ/ストレージ最適化,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0448,UC-GL-546,インフラ/プラットフォーム管理のキャパシティ計画,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0449,UC-GL-547,インフラ/プラットフォーム管理のクラウドサービスの適用判断,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0450,UC-GL-548,インフラ/プラットフォーム管理のクラウドリソース管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0451,UC-GL-549,インフラ/プラットフォーム管理のコスト管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0452,UC-GL-550,インフラ/プラットフォーム管理のコスト配賦の設計,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0453,UC-GL-551,インフラ/プラットフォーム管理のコンテナ基盤管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0454,UC-GL-552,インフラ/プラットフォーム管理のコンプライアンス監査対応,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0455,UC-GL-553,インフラ/プラットフォーム管理のサプライヤ連携管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0456,UC-GL-554,インフラ/プラットフォーム管理のサーバ/VM管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0457,UC-GL-555,インフラ/プラットフォーム管理のサービスカタログとの同期,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0458,UC-GL-556,インフラ/プラットフォーム管理のサービスカタログ連携,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0459,UC-GL-557,インフラ/プラットフォーム管理のサービスポートフォリオ連携,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0460,UC-GL-558,インフラ/プラットフォーム管理のスケーリングルールの見直し,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0461,UC-GL-559,インフラ/プラットフォーム管理のスケーリング設計,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0462,UC-GL-560,インフラ/プラットフォーム管理のストレージ設計/管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0463,UC-GL-561,インフラ/プラットフォーム管理のセキュリティパッチ適用計画,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0464,UC-GL-562,インフラ/プラットフォーム管理のセキュリティベースライン更新,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0465,UC-GL-563,インフラ/プラットフォーム管理のセキュリティベースライン適用,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0466,UC-GL-564,インフラ/プラットフォーム管理のテナント分離設計,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0467,UC-GL-565,インフラ/プラットフォーム管理のデータ保護/暗号化,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0468,UC-GL-566,インフラ/プラットフォーム管理のネットワークセグメンテーション,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0469,UC-GL-567,インフラ/プラットフォーム管理のネットワークセグメント設計,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0470,UC-GL-568,インフラ/プラットフォーム管理のネットワークルーティング管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0471,UC-GL-569,インフラ/プラットフォーム管理のネットワーク方針の策定,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0472,UC-GL-570,インフラ/プラットフォーム管理のネットワーク設計/管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0473,UC-GL-571,インフラ/プラットフォーム管理のバックアップの検証,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0474,UC-GL-572,インフラ/プラットフォーム管理のバックアップ設計,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0475,UC-GL-573,インフラ/プラットフォーム管理のバックアップ運用,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0476,UC-GL-574,インフラ/プラットフォーム管理のパッチ管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0477,UC-GL-576,インフラ/プラットフォーム管理のパフォーマンスチューニング,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0478,UC-GL-578,インフラ/プラットフォーム管理のプラットフォームロードマップ,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0479,UC-GL-579,インフラ/プラットフォーム管理のプラットフォームロードマップ策定,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0480,UC-GL-580,インフラ/プラットフォーム管理のプラットフォーム方針策定,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0481,UC-GL-581,インフラ/プラットフォーム管理のプラットフォーム監査対応,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0482,UC-GL-582,インフラ/プラットフォーム管理のプロビジョニング自動化,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0483,UC-GL-583,インフラ/プラットフォーム管理のベンダ契約のレビュー,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0484,UC-GL-584,インフラ/プラットフォーム管理のベンダ評価/契約管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0485,UC-GL-585,インフラ/プラットフォーム管理のミドルウェア標準化,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0486,UC-GL-587,インフラ/プラットフォーム管理のメンテナンスウィンドウ管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0487,UC-GL-588,インフラ/プラットフォーム管理のリソース最適化,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0488,UC-GL-589,インフラ/プラットフォーム管理のリソース棚卸し,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0489,UC-GL-590,インフラ/プラットフォーム管理のログのPIIマスキング,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0490,UC-GL-591,インフラ/プラットフォーム管理のログ保持の最適化,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0491,UC-GL-592,インフラ/プラットフォーム管理のログ保管/アーカイブ設計,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0492,UC-GL-593,インフラ/プラットフォーム管理のロードバランサ設定管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0493,UC-GL-594,インフラ/プラットフォーム管理の仮想化基盤管理,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
UC-0494,UC-GL-596,インフラ/プラットフォーム管理の冗長化設計,インフラストラクチャおよびプラットフォーム管理,GitLab; Keycloak,"設計/実装根拠(source, ID参照, app/script紐付け)を確認できず"
