ユースケースID,ユースケース機能ID,カテゴリ,ユースケース,本レポジトリシステムでの実現状況
UC-0444,UC-GL-541,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のインシデント対応準備,🔺
UC-0445,UC-GL-542,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のインフラ標準化/設計,🔺
UC-0446,UC-GL-544,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のオンプレリソース管理,🔺
UC-0447,UC-GL-545,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のキャッシュ/ストレージ最適化,🔺
UC-0448,UC-GL-546,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のキャパシティ計画,🔺
UC-0449,UC-GL-547,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のクラウドサービスの適用判断,🔺
UC-0450,UC-GL-548,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のクラウドリソース管理,🔺
UC-0451,UC-GL-549,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のコスト管理,🔺
UC-0452,UC-GL-550,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のコスト配賦の設計,🔺
UC-0453,UC-GL-551,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のコンテナ基盤管理,🔺
UC-0454,UC-GL-552,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のコンプライアンス監査対応,🔺
UC-0455,UC-GL-553,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のサプライヤ連携管理,🔺
UC-0456,UC-GL-554,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のサーバ/VM管理,🔺
UC-0457,UC-GL-555,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のサービスカタログとの同期,🔺
UC-0458,UC-GL-556,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のサービスカタログ連携,🔺
UC-0459,UC-GL-557,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のサービスポートフォリオ連携,🔺
UC-0460,UC-GL-558,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のスケーリングルールの見直し,🔺
UC-0461,UC-GL-559,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のスケーリング設計,🔺
UC-0462,UC-GL-560,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のストレージ設計/管理,🔺
UC-0463,UC-GL-561,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のセキュリティパッチ適用計画,🔺
UC-0464,UC-GL-562,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のセキュリティベースライン更新,🔺
UC-0465,UC-GL-563,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のセキュリティベースライン適用,🔺
UC-0466,UC-GL-564,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のテナント分離設計,🔺
UC-0467,UC-GL-565,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のデータ保護/暗号化,🔺
UC-0468,UC-GL-566,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のネットワークセグメンテーション,🔺
UC-0469,UC-GL-567,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のネットワークセグメント設計,🔺
UC-0470,UC-GL-568,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のネットワークルーティング管理,🔺
UC-0471,UC-GL-569,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のネットワーク方針の策定,🔺
UC-0472,UC-GL-570,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のネットワーク設計/管理,🔺
UC-0473,UC-GL-571,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のバックアップの検証,🔺
UC-0474,UC-GL-572,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のバックアップ設計,🔺
UC-0475,UC-GL-573,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のバックアップ運用,🔺
UC-0476,UC-GL-574,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のパッチ管理,🔺
UC-0477,UC-GL-576,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のパフォーマンスチューニング,🔺
UC-0478,UC-GL-578,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のプラットフォームロードマップ,🔺
UC-0479,UC-GL-579,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のプラットフォームロードマップ策定,🔺
UC-0480,UC-GL-580,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のプラットフォーム方針策定,🔺
UC-0481,UC-GL-581,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のプラットフォーム監査対応,🔺
UC-0482,UC-GL-582,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のプロビジョニング自動化,🔺
UC-0483,UC-GL-583,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のベンダ契約のレビュー,🔺
UC-0484,UC-GL-584,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のベンダ評価/契約管理,🔺
UC-0485,UC-GL-585,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のミドルウェア標準化,🔺
UC-0486,UC-GL-587,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のメンテナンスウィンドウ管理,🔺
UC-0487,UC-GL-588,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のリソース最適化,🔺
UC-0488,UC-GL-589,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のリソース棚卸し,🔺
UC-0489,UC-GL-590,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のログのPIIマスキング,🔺
UC-0490,UC-GL-591,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のログ保持の最適化,🔺
UC-0491,UC-GL-592,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のログ保管/アーカイブ設計,🔺
UC-0492,UC-GL-593,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理のロードバランサ設定管理,🔺
UC-0493,UC-GL-594,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の仮想化基盤管理,🔺
UC-0494,UC-GL-596,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の冗長化設計,🔺
UC-0495,UC-GL-597,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の可用性/冗長性のレビュー,🔺
UC-0496,UC-GL-598,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の可用性設計,🔺
UC-0497,UC-GL-599,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の基盤更新計画,🔺
UC-0498,UC-GL-600,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の変更影響評価,🔺
UC-0499,UC-GL-603,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の廃止資産の手続き,🔺
UC-0500,UC-GL-604,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の復旧手順整備,🔺
UC-0501,UC-GL-606,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の性能テストの実施,🔺
UC-0502,UC-GL-608,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の技術スタック棚卸し,🔺
UC-0503,UC-GL-609,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の新技術評価,🔺
UC-0504,UC-GL-610,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の新技術評価の実施,🔺
UC-0505,UC-GL-611,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の暗号化方針の適用,🔺
UC-0506,UC-GL-612,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の権限棚卸しの運用,🔺
UC-0507,UC-GL-613,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の機器更改計画,🔺
UC-0508,UC-GL-614,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の無効資産の廃止,🔺
UC-0509,UC-GL-615,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の環境の分離/隔離設計,🔺
UC-0510,UC-GL-616,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の環境分離設計,🔺
UC-0511,UC-GL-617,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の監査ログの集約,🔺
UC-0512,UC-GL-618,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の監査ログ収集,🔺
UC-0513,UC-GL-622,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の脆弱性スキャンの運用,🔺
UC-0514,UC-GL-623,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の脆弱性対応,🔺
UC-0515,UC-GL-625,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の負荷分散設定,🔺
UC-0516,UC-GL-626,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の資産ライフサイクル管理,🔺
UC-0517,UC-GL-627,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の資産台帳の整備,🔺
UC-0518,UC-GL-631,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の運用手順標準化,🔺
UC-0519,UC-GL-632,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の障害復旧手順の更新,🔺
UC-0520,UC-GL-633,インフラストラクチャおよびプラットフォーム管理,インフラ/プラットフォーム管理の障害復旧訓練,🔺
UC-0521,UC-GF-097,インフラストラクチャおよびプラットフォーム管理,ダッシュボードプロビジョニング,🔺
UC-0522,UC-GF-098,インフラストラクチャおよびプラットフォーム管理,データソースプロビジョニング,🔺
UC-0523,UC-QD-01,インフラストラクチャおよびプラットフォーム管理,HNSW索引,🔺
UC-0524,UC-QD-04,インフラストラクチャおよびプラットフォーム管理,スナップショット,🔺
UC-0525,UC-AHB-03,インフラストラクチャおよびプラットフォーム管理,再実行しても重複投入されない（冪等）,🔺
UC-0526,UC-AHB-02,インフラストラクチャおよびプラットフォーム管理,対象期間（`--since`）を指定して段階的にバックフィルできる,🔺
UC-0527,UC-AHB-01,インフラストラクチャおよびプラットフォーム管理,既存承認履歴を SoR にバックフィルできる（dry-run→実行）,🔺
UC-0528,UC-AHB-04,インフラストラクチャおよびプラットフォーム管理,状態（カーソル）を保持し、未処理分のみを定期実行できる（小分け）,🔺
UC-0529,UC-GBF-01,インフラストラクチャおよびプラットフォーム管理,GitLab Issue を SoR レコード（incident/srq/problem/change）へバックフィルできる,🔺
UC-0530,UC-GBF-02,インフラストラクチャおよびプラットフォーム管理,GitLab の過去決定（Issue 本文/Note）を SoR へバックフィルできる,🔺
UC-0531,UC-GBF-03,インフラストラクチャおよびプラットフォーム管理,テスト投入（`/test`）で成立性を確認できる,🔺
UC-0532,UC-N8N-14,インフラストラクチャおよびプラットフォーム管理,実行モード,🔺
UC-0533,UC-N8N-13,インフラストラクチャおよびプラットフォーム管理,実行タイムアウト,🔺
UC-0534,UC-N8N-15,インフラストラクチャおよびプラットフォーム管理,構成管理,🔺
UC-0535,UC-N8N-08,インフラストラクチャおよびプラットフォーム管理,DB構成,🔺
UC-0536,UC-ITSM-08,インフラストラクチャおよびプラットフォーム管理,CIR テンプレ起票の直後に、`ITSM/継続的改善` と `状態/New` を自動付与できる（Issue Hook → n8n）,🔺
UC-0537,UC-ITSM-06,インフラストラクチャおよびプラットフォーム管理,CIR（一般管理/継続的改善）で `状態/Approved` の Issue を一覧し、ユースケース（`UC-*`）を抽出して返せる,🔺
UC-0538,UC-ITSM-03,インフラストラクチャおよびプラットフォーム管理,GitLab Issue を SoR レコード（incident/srq/problem/change）へ upsert できる（テスト投入含む）,🔺
UC-0539,UC-ITSM-04,インフラストラクチャおよびプラットフォーム管理,GitLab の過去決定（Issue/Note）を SoR へ投入できる（テスト投入含む）,🔺
UC-0540,UC-ITSM-01,インフラストラクチャおよびプラットフォーム管理,SoR の DDL を適用し、依存スキーマを検査できる,🔺
UC-0541,UC-ITSM-02,インフラストラクチャおよびプラットフォーム管理,SoR へ監査イベント（`itsm.audit_event`）を冪等に投入できる,🔺
UC-0542,UC-ITSM-07,インフラストラクチャおよびプラットフォーム管理,system.md 実行の完了後に、対象 CIR Issue を `状態/Closed` に更新して close し、結果サマリ（検証結果/証跡）を Issue note として残せる（起票者通知のトリガ）,🔺
UC-0543,UC-ITSM-05,インフラストラクチャおよびプラットフォーム管理,保持/削除/匿名化を dry-run→実行で安全に運用できる,🔺
UC-0544,UC-ZHB-01,インフラストラクチャおよびプラットフォーム管理,dry-run（計画のみ）で対象範囲と検出ルールを確認できる,🔺
UC-0545,UC-ZHB-02,インフラストラクチャおよびプラットフォーム管理,scan のみ（SQL 生成）と実行（DB 書き込み）を分離できる,🔺
UC-0546,UC-ZHB-03,インフラストラクチャおよびプラットフォーム管理,再実行しても重複投入されない（冪等）,🔺
UC-0547,UC-ZHB-04,インフラストラクチャおよびプラットフォーム管理,状態（カーソル）を保持し、未処理分のみを定期実行できる（小分け）,🔺
UC-0601,UC-GF-100,オブザーバビリティ,Grafana参照/注釈連携,🔺
UC-0701,UC-EXA-01,ガバナンス,ワークスペース,🔺
UC-0702,UC-GL-172,ガバナンス,任意承認,🔺
UC-0703,UC-ZU-02,ガバナンス,メッセージ削除,🔺
UC-0704,UC-ZU-04,ガバナンス,編集履歴,🔺
UC-0705,UC-ZU-03,ガバナンス,メッセージ編集,🔺
UC-0801,UC-ZU-01,ガバナンス; 情報セキュリティ管理,トピック作成権限,🔺
UC-0901,UC-GL-146,ガバナンス; 監査,リリース証跡,🔺
UC-1101,UC-PUSH-01,コミュニケーション管理,GitLab Push イベントを受信し、必要情報を整形して Zulip に通知する,🔺
UC-1102,UC-PUSH-02,コミュニケーション管理,Webhook Secret を検証し、不正送信を拒否する（未設定時は fail-fast で停止する）,🔺
UC-1103,UC-PUSH-04,コミュニケーション管理,dry-run で通知本文を確認し、誤配信リスクを低減する,🔺
UC-1104,UC-PUSH-05,コミュニケーション管理,テスト用 Webhook により、手動入力で整形結果を再現できる,🔺
UC-1105,UC-PUSH-03,コミュニケーション管理,対象プロジェクト/パスでフィルタし、誤通知（別プロジェクト由来）を抑制する,🔺
UC-1301,UC-GL-025,サプライヤ管理,サプライヤ管理のKPI/指標定義,🔺
UC-1302,UC-GL-026,サプライヤ管理,サプライヤ管理のガバナンスと方針運用の整備,🔺
UC-1303,UC-GL-027,サプライヤ管理,サプライヤ管理のステークホルダー/関係者調整,🔺
UC-1304,UC-GL-028,サプライヤ管理,サプライヤ管理のツール/データ整備,🔺
UC-1305,UC-GL-029,サプライヤ管理,サプライヤ管理のリスク/例外レビュー,🔺
UC-1306,UC-GL-030,サプライヤ管理,サプライヤ管理のリスクと例外の管理,🔺
UC-1307,UC-GL-031,サプライヤ管理,サプライヤ管理のレビュー/監査の実施,🔺
UC-1308,UC-GL-032,サプライヤ管理,サプライヤ管理のロードマップ策定,🔺
UC-1309,UC-GL-033,サプライヤ管理,サプライヤ管理の主要関係者の合意形成,🔺
