ユースケースID,ユースケース機能ID,ユースケース,カテゴリ,アプリ(実データ列),判定理由,再分類,再分類理由
UC-0216,UC-GL-306,インシデント管理の継続的改善,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0217,UC-GL-307,インシデント管理の自動化/効率化,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0218,UC-GL-308,インシデント管理の調査/分析,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0219,UC-GL-309,インシデント管理の通知/コミュニケーション,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0220,UC-GL-310,インシデント管理の運用手順の整備,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0221,UC-GL-311,インシデント管理の関係者合意の形成,インシデント管理,GitLab; Zulip; n8n; Grafana; cloudwatch_event_notify; aiops_agent,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/itsm_core/cloudwatch_event_notify/workflows/cloudwatch_event_notify.json; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0224,UC-AIOPS-OFF-001,チャットからの緊急インシデント（Service Down）をトリアージし、候補/不足情報/次アクションを提示する,インシデント管理,aiops_agent; n8n; GitLab; Zulip; Qdrant,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0225,UC-AIOPS-OFF-002,変更依頼は承認が必要なフローへ誘導する（安易に自動実行しない）,インシデント管理,aiops_agent; n8n; GitLab; Zulip; Qdrant,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0226,UC-AIOPS-OFF-003,曖昧な依頼は推測で埋めずに確認質問へ誘導する,インシデント管理,aiops_agent; n8n; GitLab; Zulip; Qdrant,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0227,UC-AIOPS-OFF-004,監視アラート（CloudWatch 等）を受け、必要に応じて自動反応/確認/承認へ分岐する,インシデント管理,aiops_agent; n8n; GitLab; Zulip; Qdrant,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0228,UC-AIOPS-OFF-005,ルーティング/エスカレーション候補を選定し、適切な対応案（ログ収集等）へ誘導する,インシデント管理,aiops_agent; n8n; GitLab; Zulip; Qdrant,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0229,UC-AIOPS-OFF-006,既知エラー/ナレッジ検索（RAG）へ誘導し、調査を支援する,インシデント管理,aiops_agent; n8n; GitLab; Zulip; Qdrant,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0230,UC-AIOPS-OFF-007,フィードバック入力は運用アクションとして誤解釈せず、安全側（確認/拒否）で扱う,インシデント管理,aiops_agent; n8n; GitLab; Zulip; Qdrant,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0231,UC-AIOPS-OFF-008,意味不明/未知語の入力はフォールバック（確認/拒否）し、暴走を抑止する,インシデント管理,aiops_agent; n8n; GitLab; Zulip; Qdrant,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0232,UC-AIOPS-OFF-009,プロンプトインジェクション等の攻撃入力を拒否または安全側に処理する,インシデント管理,aiops_agent; n8n; GitLab; Zulip; Qdrant,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0233,UC-AIOPS-OFF-010,PII/秘密情報の混入を想定し、出力（理由等）に秘匿情報を残さない,インシデント管理,aiops_agent; n8n; GitLab; Zulip; Qdrant,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0234,UC-AIOPS-OFF-011,GitLab Wiki 等のナレッジ検索を想定し、RAG 参照の意思決定（preview facts）を行う,インシデント管理,aiops_agent; n8n; GitLab; Zulip; Qdrant,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0235,UC-AIOPS-OFF-012,RAG から得た候補（candidate）をプレビューに反映し、次アクションの根拠を整える,インシデント管理,aiops_agent; n8n; GitLab; Zulip; Qdrant,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0236,UC-AIOPS-OFF-013,解決済みの対応内容をナレッジ化（再利用可能なFAQ/手順/注意点）し、GitLab の docs/ 等へ記録できるように誘導する（ITIL4 テンプレ: `14_knowledge_management`）,インシデント管理,aiops_agent; n8n; GitLab; Zulip; Qdrant,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0237,UC-AIOPS-OFF-015,AIOpsAgent が `auto_enqueue`（自動承認/自動実行）した場合も **Zulip 上の決定**として扱い（`/decision`）、GitLab へ証跡化し、DB（`aiops_approval_history`）に記録して `/decisions` で参照できる,インシデント管理,aiops_agent; n8n; GitLab; Zulip; Qdrant,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0238,UC-AIOPS-OFF-016,ユーザー要望（例: 「○○ができるようになって」）を受領して回答し、GitLab の一般管理プロジェクトの CIR（継続的改善レジスター）＝GitLab Issue に改善機会として `New` で集約する（重複がないように登録）。運用者が `Approved` にした時に、要望を行ったユーザーに対して、チャット上で「以前のご要望（要約）は承認されたので、これから改善します。」旨のメッセージを送信する。,インシデント管理,aiops_agent; n8n; GitLab; Zulip; Qdrant,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-0239,UC-AIOPS-OFF-014,承認リンク（クリック）による approve/deny を **Zulip 上の決定**として扱い、証跡（承認履歴）を保存し、Zulip から `/decisions` で時系列サマリを参照できる,インシデント管理,aiops_agent; n8n; GitLab; Zulip; Qdrant,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl; apps/aiops_agent/adapter/workflows/aiops_adapter_approval.json; apps/aiops_agent/orchestrator/docs/app_requirements.md,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1201,UC-GL-879,GitLabメンション通知の宛先解決,コミュニケーション（例外処理）,GitLab; n8n; Zulip; gitlab_mention_notify,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl; apps/itsm_core/gitlab_mention_notify/workflows/gitlab_mention_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1501,UC-GL-312,サービスデスクのSLA/目標管理,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1502,UC-GL-313,サービスデスクのエスカレーション/連携,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1503,UC-GL-314,サービスデスクのデータ品質の維持,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1504,UC-GL-315,サービスデスクのナレッジの更新,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1505,UC-GL-316,サービスデスクのレポート/振り返り,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1506,UC-GL-317,サービスデスクのレポートの標準化,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1507,UC-GL-318,サービスデスクの依存関係の整理,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1508,UC-GL-319,サービスデスクの分類/優先度付け,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1509,UC-GL-320,サービスデスクの受付/登録,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1510,UC-GL-321,サービスデスクの品質保証/監査,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1511,UC-GL-322,サービスデスクの実行/処理,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1512,UC-GL-323,サービスデスクの承認/レビュー,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1513,UC-GL-324,サービスデスクの改善施策の実施,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1514,UC-GL-325,サービスデスクの方針/標準定義,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1515,UC-GL-326,サービスデスクの標準テンプレートの整備,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1516,UC-GL-327,サービスデスクの継続的改善,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
UC-1517,UC-GL-328,サービスデスクの自動化/効率化,サービスデスク,GitLab; Zulip; n8n; workflow_manager; zulip_gitlab_issue_sync,根拠: scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl; apps/workflow_manager/service_request/workflows/aiops_sulu_service_control.json; apps/itsm_core/zulip_gitlab_issue_sync/workflows/gitlab_decision_notify.json,実装済み（根拠+自動化）,設計テンプレと既存ワークフロー/自動化コンポーネントで実現可能
