ユースケースID,ユースケース機能ID,ユースケース,カテゴリ,設計追加先MD,設計ファミリ,既存機能への追加候補,新規app/script必要,提案コンポーネント種別,提案コンポーネント名,新規実装スコープ
UC-0020,UC-GL-289,IT資産管理の運用手順の整備,IT資産管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-0021,UC-GL-290,IT資産管理の関係者合意の形成,IT資産管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,platform-doc-only,no,,,
UC-0201,UC-GL-291,インシデント管理のSLA/目標管理,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0202,UC-GL-292,インシデント管理のエスカレーション/連携,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0203,UC-GL-293,インシデント管理のデータ品質の維持,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0204,UC-GL-294,インシデント管理のナレッジの更新,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0205,UC-GL-295,インシデント管理のレポート/振り返り,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0206,UC-GL-296,インシデント管理のレポートの標準化,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0207,UC-GL-297,インシデント管理の依存関係の整理,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0208,UC-GL-298,インシデント管理の分類/優先度付け,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0209,UC-GL-299,インシデント管理の受付/登録,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0210,UC-GL-300,インシデント管理の品質保証/監査,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0211,UC-GL-301,インシデント管理の実行/処理,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0212,UC-GL-302,インシデント管理の承認/レビュー,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0213,UC-GL-303,インシデント管理の改善施策の実施,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0214,UC-GL-304,インシデント管理の方針/標準定義,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0215,UC-GL-305,インシデント管理の標準テンプレートの整備,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0216,UC-GL-306,インシデント管理の継続的改善,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0217,UC-GL-307,インシデント管理の自動化/効率化,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0218,UC-GL-308,インシデント管理の調査/分析,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0219,UC-GL-309,インシデント管理の通知/コミュニケーション,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0220,UC-GL-310,インシデント管理の運用手順の整備,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0221,UC-GL-311,インシデント管理の関係者合意の形成,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/itsm_core/cloudwatch_event_notify; apps/aiops_agent,no,,,
UC-0222,UC-GL-877,重大インシデント周知,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,platform-doc-only,no,,,
UC-0223,UC-ZU-29,トピック解決管理,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,platform-doc-only,no,,,
UC-0224,UC-AIOPS-OFF-001,チャットからの緊急インシデント（Service Down）をトリアージし、候補/不足情報/次アクションを提示する,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/aiops_agent,no,,,
UC-0225,UC-AIOPS-OFF-002,変更依頼は承認が必要なフローへ誘導する（安易に自動実行しない）,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/aiops_agent,no,,,
UC-0226,UC-AIOPS-OFF-003,曖昧な依頼は推測で埋めずに確認質問へ誘導する,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/aiops_agent,no,,,
UC-0227,UC-AIOPS-OFF-004,監視アラート（CloudWatch 等）を受け、必要に応じて自動反応/確認/承認へ分岐する,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/aiops_agent,no,,,
UC-0228,UC-AIOPS-OFF-005,ルーティング/エスカレーション候補を選定し、適切な対応案（ログ収集等）へ誘導する,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/aiops_agent,no,,,
UC-0229,UC-AIOPS-OFF-006,既知エラー/ナレッジ検索（RAG）へ誘導し、調査を支援する,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/aiops_agent,no,,,
UC-0230,UC-AIOPS-OFF-007,フィードバック入力は運用アクションとして誤解釈せず、安全側（確認/拒否）で扱う,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/aiops_agent,no,,,
UC-0231,UC-AIOPS-OFF-008,意味不明/未知語の入力はフォールバック（確認/拒否）し、暴走を抑止する,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/aiops_agent,no,,,
UC-0232,UC-AIOPS-OFF-009,プロンプトインジェクション等の攻撃入力を拒否または安全側に処理する,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/aiops_agent,no,,,
UC-0233,UC-AIOPS-OFF-010,PII/秘密情報の混入を想定し、出力（理由等）に秘匿情報を残さない,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/aiops_agent,no,,,
UC-0234,UC-AIOPS-OFF-011,GitLab Wiki 等のナレッジ検索を想定し、RAG 参照の意思決定（preview facts）を行う,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/aiops_agent,no,,,
UC-0235,UC-AIOPS-OFF-012,RAG から得た候補（candidate）をプレビューに反映し、次アクションの根拠を整える,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/aiops_agent,no,,,
UC-0236,UC-AIOPS-OFF-013,解決済みの対応内容をナレッジ化（再利用可能なFAQ/手順/注意点）し、GitLab の docs/ 等へ記録できるように誘導する（ITIL4 テンプレ: `14_knowledge_management`）,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/aiops_agent,no,,,
UC-0237,UC-AIOPS-OFF-015,AIOpsAgent が `auto_enqueue`（自動承認/自動実行）した場合も **Zulip 上の決定**として扱い（`/decision`）、GitLab へ証跡化し、DB（`aiops_approval_history`）に記録して `/decisions` で参照できる,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/aiops_agent,no,,,
UC-0238,UC-AIOPS-OFF-016,ユーザー要望（例: 「○○ができるようになって」）を受領して回答し、GitLab の一般管理プロジェクトの CIR（継続的改善レジスター）＝GitLab Issue に改善機会として `New` で集約する（重複がないように登録）。運用者が `Approved` にした時に、要望を行ったユーザーに対して、チャット上で「以前のご要望（要約）は承認されたので、これから改善します。」旨のメッセージを送信する。,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/aiops_agent,no,,,
UC-0239,UC-AIOPS-OFF-014,承認リンク（クリック）による approve/deny を **Zulip 上の決定**として扱い、証跡（承認履歴）を保存し、Zulip から `/decisions` で時系列サマリを参照できる,インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,apps/aiops_agent,no,,,
UC-0301,UC-GL-526,課題管理,インシデント管理; 問題管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,platform-doc-only,no,,,
UC-1201,UC-GL-879,GitLabメンション通知の宛先解決,コミュニケーション（例外処理）,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/itsm_core/gitlab_mention_notify,no,,,
UC-1401,UC-WM-SC-01,サービスカタログ管理のSLA/目標管理,サービスカタログ管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,apps/workflow_manager,no,,,
UC-1402,UC-WM-SC-02,サービスカタログ管理のエスカレーション/連携,サービスカタログ管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/workflow_manager,no,,,
UC-1403,UC-WM-SC-03,サービスカタログ管理のデータ品質の維持,サービスカタログ管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/31_system_of_record.md.tpl,service,apps/workflow_manager,no,,,
UC-1404,UC-WM-SC-04,サービスカタログ管理のナレッジの更新,サービスカタログ管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/14_knowledge_management.md.tpl,service,apps/workflow_manager,no,,,
UC-1405,UC-WM-SC-05,サービスカタログ管理のレポート/振り返り,サービスカタログ管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/workflow_manager,no,,,
UC-1406,UC-WM-06,サービスカタログ管理のレポートの標準化,サービスカタログ管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,apps/workflow_manager,no,,,
UC-1407,UC-WM-07,サービスカタログ管理の依存関係の整理,サービスカタログ管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/workflow_manager,no,,,
UC-1408,UC-WM-08,サービスカタログ管理の分類/優先度付け,サービスカタログ管理,scripts/itsm/gitlab/templates/general-management/docs/usecases/02_demand_prioritization.md.tpl,service,apps/workflow_manager,no,,,
UC-1409,UC-WM-09,サービスカタログ管理の受付/登録,サービスカタログ管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager,no,,,
UC-1410,UC-WM-10,サービスカタログ管理の品質保証/監査,サービスカタログ管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,apps/workflow_manager,no,,,
UC-1411,UC-WM-11,サービスカタログ管理の実行/処理,サービスカタログ管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/workflow_manager,no,,,
UC-1412,UC-WM-12,サービスカタログ管理の承認/レビュー,サービスカタログ管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/workflow_manager,no,,,
UC-1413,UC-WM-13,サービスカタログ管理の改善施策の実施,サービスカタログ管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/workflow_manager,no,,,
UC-1414,UC-WM-14,サービスカタログ管理の方針/標準定義,サービスカタログ管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,apps/workflow_manager,no,,,
UC-1415,UC-WM-15,サービスカタログ管理の標準テンプレートの整備,サービスカタログ管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/26_standardization.md.tpl,service,apps/workflow_manager,no,,,
UC-1416,UC-WM-16,サービスカタログ管理の継続的改善,サービスカタログ管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/18_capacity_planning.md.tpl,service,apps/workflow_manager,no,,,
UC-1417,UC-WM-17,サービスカタログ管理の自動化/効率化,サービスカタログ管理,scripts/itsm/gitlab/templates/technical-management/docs/usecases/22_automation.md.tpl,service,apps/workflow_manager,no,,,
UC-1418,UC-WM-18,サービスカタログ管理の調査/分析,サービスカタログ管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/workflow_manager,no,,,
UC-1419,UC-WM-19,サービスカタログ管理の通知/コミュニケーション,サービスカタログ管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/workflow_manager,no,,,
UC-1420,UC-WM-20,サービスカタログ管理の運用手順の整備,サービスカタログ管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/workflow_manager,no,,,
UC-1421,UC-WM-21,サービスカタログ管理の関係者合意の形成,サービスカタログ管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/usecase_guide.md.tpl,service,apps/workflow_manager,no,,,
UC-1501,UC-GL-312,サービスデスクのSLA/目標管理,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1502,UC-GL-313,サービスデスクのエスカレーション/連携,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1503,UC-GL-314,サービスデスクのデータ品質の維持,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1504,UC-GL-315,サービスデスクのナレッジの更新,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1505,UC-GL-316,サービスデスクのレポート/振り返り,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1506,UC-GL-317,サービスデスクのレポートの標準化,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1507,UC-GL-318,サービスデスクの依存関係の整理,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1508,UC-GL-319,サービスデスクの分類/優先度付け,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1509,UC-GL-320,サービスデスクの受付/登録,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1510,UC-GL-321,サービスデスクの品質保証/監査,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1511,UC-GL-322,サービスデスクの実行/処理,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1512,UC-GL-323,サービスデスクの承認/レビュー,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1513,UC-GL-324,サービスデスクの改善施策の実施,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1514,UC-GL-325,サービスデスクの方針/標準定義,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1515,UC-GL-326,サービスデスクの標準テンプレートの整備,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1516,UC-GL-327,サービスデスクの継続的改善,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1517,UC-GL-328,サービスデスクの自動化/効率化,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1518,UC-GL-329,サービスデスクの調査/分析,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1519,UC-GL-330,サービスデスクの通知/コミュニケーション,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1520,UC-GL-331,サービスデスクの運用手順の整備,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1521,UC-GL-332,サービスデスクの関係者合意の形成,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/workflow_manager; apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1522,UC-ZU-30,トピック追跡,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,platform-doc-only,no,,,
UC-1523,UC-ZU-31,トピック運用,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,platform-doc-only,no,,,
UC-1524,UC-ZU-35,通知抑制,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,platform-doc-only,no,,,
UC-1525,UC-MEN-01,GitLab Webhook を受信し、本文から `@mention` を抽出して Zulip（DM 等）へ通知する,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/itsm_core/gitlab_mention_notify,no,,,
UC-1526,UC-MEN-02,Webhook Secret を検証し、不正送信を拒否する（未設定時は fail-fast で停止する）,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/itsm_core/gitlab_mention_notify,no,,,
UC-1527,UC-MEN-03,dry-run で通知先と本文を確認し、誤検知/過通知のリスクを事前に抑制する,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/itsm_core/gitlab_mention_notify,no,,,
UC-1528,UC-MEN-04,除外語/ユーザーマッピング/上限などのルールで過通知を抑制する,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/itsm_core/gitlab_mention_notify,no,,,
UC-1529,UC-MEN-05,（任意）GitLab API を参照して補足情報を付与し、運用者の判断材料を増やす,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/itsm_core/gitlab_mention_notify,no,,,
UC-1530,UC-ZG-03,Issue 状態（クローズ/再オープン等）を同期し、Zulip 側へ結果を通知する（Issue→会話の反映を含む）,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1531,UC-ZG-01,Zulip の特定 stream/topic を起点に GitLab Issue を作成し、結果を Zulip に通知する,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1532,UC-ZG-06,Zulip または GitLab Issue 上の「最終決定」を決定マーカーで識別し、Zulip へ通知しつつ GitLab Issue に証跡（決定ログ）を残す（最終決定: Zulip/GitLab、証跡の正: GitLab）,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1533,UC-ZG-02,同一 topic の継続会話を GitLab Issue/コメントへ追記し、履歴を同期する（会話→Issue）,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1534,UC-ZG-04,誤同期を抑制する（stream 名/ID 制約、マッピング/ルール、アンカー/差分同期で漏れ・重複を抑える）,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1535,UC-ZG-05,（任意）イベント/メトリクスを S3 へエクスポートし、日次振り返り等に利用できる形にする,サービスデスク,scripts/itsm/gitlab/templates/service-management/docs/usecases/11_customer_request_to_improvement.md.tpl,service,apps/itsm_core/zulip_gitlab_issue_sync,no,,,
UC-1601,UC-ZU-34,会話の整理,サービスデスク; インシデント管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/12_incident_management.md.tpl,service,platform-doc-only,no,,,
UC-1701,UC-GL-460,ボード運用,サービスデスク; 変更管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/15_change_and_release.md.tpl,service,platform-doc-only,no,,,
UC-1801,UC-GL-333,サービスレベル管理のSLA/目標管理,サービスレベル管理,scripts/itsm/gitlab/templates/service-management/docs/usecases/13_quality_assurance_sla.md.tpl,service,apps/itsm_core/gitlab_issue_metrics_sync,no,,,
