ユースケースID,ユースケース機能ID,カテゴリ,ユースケース,本レポジトリシステムでの実現状況
UC-2734,UC-GL-660,ソフトウェア開発および管理,ソフトウェア開発管理のテストデータ管理,❌
UC-2735,UC-GL-661,ソフトウェア開発および管理,ソフトウェア開発管理のテスト戦略の策定,❌
UC-2736,UC-GL-662,ソフトウェア開発および管理,ソフトウェア開発管理のデプロイ連携の設計,❌
UC-2737,UC-GL-663,ソフトウェア開発および管理,ソフトウェア開発管理のデプロイ連携設計,❌
UC-2738,UC-GL-664,ソフトウェア開発および管理,ソフトウェア開発管理のドキュメント整備,❌
UC-2739,UC-GL-665,ソフトウェア開発および管理,ソフトウェア開発管理のドキュメント更新サイクル,❌
UC-2740,UC-GL-666,ソフトウェア開発および管理,ソフトウェア開発管理のドキュメント管理,❌
UC-2741,UC-GL-667,ソフトウェア開発および管理,ソフトウェア開発管理のバックポート管理,❌
UC-2742,UC-GL-668,ソフトウェア開発および管理,ソフトウェア開発管理のバージョニング方針,❌
UC-2743,UC-GL-669,ソフトウェア開発および管理,ソフトウェア開発管理のパイプライン高速化,❌
UC-2744,UC-GL-670,ソフトウェア開発および管理,ソフトウェア開発管理のパッケージの署名/検証,❌
UC-2745,UC-GL-671,ソフトウェア開発および管理,ソフトウェア開発管理のパッケージ管理,❌
UC-2746,UC-GL-672,ソフトウェア開発および管理,ソフトウェア開発管理のビルドキャッシュ最適化,❌
UC-2747,UC-GL-673,ソフトウェア開発および管理,ソフトウェア開発管理のビルド成果物の管理,❌
UC-2748,UC-GL-674,ソフトウェア開発および管理,ソフトウェア開発管理のビルド自動化,❌
UC-2749,UC-GL-675,ソフトウェア開発および管理,ソフトウェア開発管理のブランチ/マージ戦略統一,❌
UC-2750,UC-GL-676,ソフトウェア開発および管理,ソフトウェア開発管理のブランチ戦略設計,❌
UC-2751,UC-GL-677,ソフトウェア開発および管理,ソフトウェア開発管理のホットフィックス管理,❌
UC-2752,UC-GL-678,ソフトウェア開発および管理,ソフトウェア開発管理のマージ戦略統一,❌
UC-2753,UC-GL-679,ソフトウェア開発および管理,ソフトウェア開発管理のユーザ受入テスト支援,❌
UC-2754,UC-GL-680,ソフトウェア開発および管理,ソフトウェア開発管理のライセンス遵守,❌
UC-2755,UC-GL-681,ソフトウェア開発および管理,ソフトウェア開発管理のライセンス遵守の確認,❌
UC-2756,UC-GL-682,ソフトウェア開発および管理,ソフトウェア開発管理のリファクタリング計画,❌
UC-2757,UC-GL-683,ソフトウェア開発および管理,ソフトウェア開発管理のリリースノート作成,❌
UC-2758,UC-GL-684,ソフトウェア開発および管理,ソフトウェア開発管理のリリースブランチ管理,❌
UC-2759,UC-GL-685,ソフトウェア開発および管理,ソフトウェア開発管理のリリース凍結の運用,❌
UC-2760,UC-GL-686,ソフトウェア開発および管理,ソフトウェア開発管理のリリース凍結対応,❌
UC-2761,UC-GL-687,ソフトウェア開発および管理,ソフトウェア開発管理のリリース判定,❌
UC-2762,UC-GL-688,ソフトウェア開発および管理,ソフトウェア開発管理のリリース基準の明確化,❌
UC-2763,UC-GL-689,ソフトウェア開発および管理,ソフトウェア開発管理のリリース後の監視連携,❌
UC-2764,UC-GL-690,ソフトウェア開発および管理,ソフトウェア開発管理のリリース後フォロー,❌
UC-2765,UC-GL-691,ソフトウェア開発および管理,ソフトウェア開発管理のリリース準備チェック,❌
UC-2766,UC-GL-692,ソフトウェア開発および管理,ソフトウェア開発管理のリリース計画管理,❌
UC-2767,UC-GL-693,ソフトウェア開発および管理,ソフトウェア開発管理のリリース頻度管理,❌
UC-2768,UC-GL-694,ソフトウェア開発および管理,ソフトウェア開発管理のレビューSLAの運用,❌
UC-2769,UC-GL-695,ソフトウェア開発および管理,ソフトウェア開発管理のレビューSLA管理,❌
UC-2770,UC-GL-696,ソフトウェア開発および管理,ソフトウェア開発管理のレビューガイドライン整備,❌
UC-2771,UC-GL-697,ソフトウェア開発および管理,ソフトウェア開発管理の依存脆弱性対応,❌
UC-2772,UC-GL-698,ソフトウェア開発および管理,ソフトウェア開発管理の依存関係の定期更新,❌
UC-2773,UC-GL-699,ソフトウェア開発および管理,ソフトウェア開発管理の依存関係管理,❌
UC-2774,UC-GL-700,ソフトウェア開発および管理,ソフトウェア開発管理の再発防止策の実装,❌
UC-2775,UC-GL-701,ソフトウェア開発および管理,ソフトウェア開発管理の分岐の最小化,❌
UC-2776,UC-GL-702,ソフトウェア開発および管理,ソフトウェア開発管理の単体テスト自動化,❌
UC-2777,UC-GL-703,ソフトウェア開発および管理,ソフトウェア開発管理の品質ゲートの設計,❌
UC-2778,UC-GL-704,ソフトウェア開発および管理,ソフトウェア開発管理の品質ゲート運用,❌
UC-2779,UC-GL-705,ソフトウェア開発および管理,ソフトウェア開発管理の品質メトリクス管理,❌
UC-2780,UC-GL-706,ソフトウェア開発および管理,ソフトウェア開発管理の品質レポート,❌
UC-2781,UC-GL-707,ソフトウェア開発および管理,ソフトウェア開発管理の品質レポートの共有,❌
UC-2782,UC-GL-708,ソフトウェア開発および管理,ソフトウェア開発管理の品質指標の可視化,❌
UC-2783,UC-GL-709,ソフトウェア開発および管理,ソフトウェア開発管理の変更リスク評価,❌
UC-2784,UC-GL-710,ソフトウェア開発および管理,ソフトウェア開発管理の変更履歴の管理,❌
UC-2785,UC-GL-711,ソフトウェア開発および管理,ソフトウェア開発管理の変更履歴管理,❌
UC-2786,UC-GL-712,ソフトウェア開発および管理,ソフトウェア開発管理の実装ガイドライン整備,❌
UC-2787,UC-GL-713,ソフトウェア開発および管理,ソフトウェア開発管理の性能テスト実行,❌
UC-2788,UC-GL-714,ソフトウェア開発および管理,ソフトウェア開発管理の性能要件の実装,❌
UC-2789,UC-GL-715,ソフトウェア開発および管理,ソフトウェア開発管理の性能要件反映,❌
UC-2790,UC-GL-716,ソフトウェア開発および管理,ソフトウェア開発管理の技術負債の可視化,❌
UC-2791,UC-GL-717,ソフトウェア開発および管理,ソフトウェア開発管理の技術負債管理,❌
UC-2792,UC-GL-718,ソフトウェア開発および管理,ソフトウェア開発管理の環境依存の排除,❌
UC-2793,UC-GL-719,ソフトウェア開発および管理,ソフトウェア開発管理の環境依存の管理,❌
UC-2794,UC-GL-720,ソフトウェア開発および管理,ソフトウェア開発管理の監視/運用連携の設計,❌
UC-2795,UC-GL-721,ソフトウェア開発および管理,ソフトウェア開発管理の秘密情報の管理,❌
UC-2796,UC-GL-722,ソフトウェア開発および管理,ソフトウェア開発管理の秘密情報管理,❌
UC-2797,UC-GL-723,ソフトウェア開発および管理,ソフトウェア開発管理の統合テスト自動化,❌
UC-2798,UC-GL-724,ソフトウェア開発および管理,ソフトウェア開発管理の継続的改善,❌
UC-2799,UC-GL-725,ソフトウェア開発および管理,ソフトウェア開発管理の継続的改善の計画,❌
UC-2800,UC-GL-726,ソフトウェア開発および管理,ソフトウェア開発管理の脆弱性修正の優先順位付け,❌
UC-2801,UC-GL-727,ソフトウェア開発および管理,ソフトウェア開発管理の脆弱性修正リリース,❌
UC-2802,UC-GL-728,ソフトウェア開発および管理,ソフトウェア開発管理の自動化率の改善,❌
UC-2803,UC-GL-729,ソフトウェア開発および管理,ソフトウェア開発管理の要件管理,❌
UC-2804,UC-GL-730,ソフトウェア開発および管理,ソフトウェア開発管理の設定の外部化,❌
UC-2805,UC-GL-731,ソフトウェア開発および管理,ソフトウェア開発管理の設定管理,❌
UC-2806,UC-GL-732,ソフトウェア開発および管理,ソフトウェア開発管理の設計レビュー,❌
UC-2807,UC-GL-733,ソフトウェア開発および管理,ソフトウェア開発管理の負荷試験,❌
UC-2808,UC-GL-734,ソフトウェア開発および管理,ソフトウェア開発管理の負荷試験の運用,❌
UC-2809,UC-GL-735,ソフトウェア開発および管理,ソフトウェア開発管理の運用フィードバック反映,❌
UC-2810,UC-GL-736,ソフトウェア開発および管理,ソフトウェア開発管理の運用手順への反映,❌
UC-2811,UC-GL-737,ソフトウェア開発および管理,ソフトウェア開発管理の運用要件反映,❌
UC-2812,UC-GL-738,ソフトウェア開発および管理,ソフトウェア開発管理の開発KPIの定義,❌
UC-2813,UC-GL-739,ソフトウェア開発および管理,ソフトウェア開発管理の開発プロセスの評価,❌
UC-2814,UC-GL-740,ソフトウェア開発および管理,ソフトウェア開発管理の開発プロセス標準化,❌
UC-2815,UC-GL-741,ソフトウェア開発および管理,ソフトウェア開発管理の開発指標の可視化,❌
UC-2816,UC-GL-742,ソフトウェア開発および管理,ソフトウェア開発管理の開発標準の策定,❌
UC-2817,UC-GL-743,ソフトウェア開発および管理,ソフトウェア開発管理の開発環境の標準化,❌
UC-2818,UC-GL-744,ソフトウェア開発および管理,ソフトウェア開発管理の開発生産性可視化,❌
UC-2819,UC-GL-745,ソフトウェア開発および管理,ソフトウェア開発管理の開発者オンボーディング,❌
UC-2820,UC-GL-746,ソフトウェア開発および管理,ソフトウェア開発管理の障害対応の開発連携,❌
UC-2821,UC-GL-747,ソフトウェア開発および管理,ソフトウェア開発管理の静的解析の導入,❌
UC-2822,UC-GL-748,ソフトウェア開発および管理,ソフトウェア開発管理の非機能テストの計画,❌
UC-2823,UC-GL-749,ソフトウェア開発および管理,ソフトウェア開発管理の非機能テスト設計,❌
UC-2824,UC-GF-099,ソフトウェア開発および管理,注釈API連携,❌
UC-2825,UC-KC-35,ソフトウェア開発および管理,アプリ連携管理,❌
UC-2826,UC-KC-36,ソフトウェア開発および管理,サービスアカウント,❌
UC-2827,UC-ZU-37,ソフトウェア開発および管理,メッセージ取得API,❌
UC-2828,UC-ZU-36,ソフトウェア開発および管理,ファイルAPI連携,❌
UC-2829,UC-N8N-06,ソフトウェア開発および管理,API運用,❌
UC-2830,UC-N8N-07,ソフトウェア開発および管理,CLI運用,❌
UC-2831,UC-N8N-11,ソフトウェア開発および管理,ノード分類管理,❌
UC-2832,UC-N8N-10,ソフトウェア開発および管理,トリガ/アクション設計,❌
UC-2833,UC-N8N-12,ソフトウェア開発および管理,メタ情報取得,❌
UC-2901,UC-EXA-24,デプロイメント管理,失敗時通知,❌
UC-2902,UC-EXA-19,デプロイメント管理,作業フロー自動化,❌
UC-2903,UC-EXA-18,デプロイメント管理,フロー設計,❌
UC-2904,UC-EXA-20,デプロイメント管理,実行ノード制御,❌
UC-2905,UC-EXA-22,デプロイメント管理,構成自動化,❌
UC-2906,UC-EXA-21,デプロイメント管理,実行対象管理,❌
UC-2907,UC-GL-750,デプロイメント管理,デプロイメント管理のアプリ/インフラの同時展開,❌
UC-2908,UC-GL-751,デプロイメント管理,デプロイメント管理のアラート連携,❌
UC-2909,UC-GL-752,デプロイメント管理,デプロイメント管理のアーティファクト署名確認,❌
UC-2910,UC-GL-753,デプロイメント管理,デプロイメント管理のカナリアデプロイ,❌
UC-2911,UC-GL-754,デプロイメント管理,デプロイメント管理のコンテナイメージ配布,❌
UC-2912,UC-GL-755,デプロイメント管理,デプロイメント管理のサードパーティリリース連携,❌
UC-2913,UC-GL-756,デプロイメント管理,デプロイメント管理のサーバ再起動/サービス再起動,❌
UC-2914,UC-GL-757,デプロイメント管理,デプロイメント管理のステージング環境への配置,❌
UC-2915,UC-GL-758,デプロイメント管理,デプロイメント管理のスモークテスト連携,❌
UC-2916,UC-GL-759,デプロイメント管理,デプロイメント管理のセキュリティパッチ展開,❌
UC-2917,UC-GL-760,デプロイメント管理,デプロイメント管理のダークローンチ,❌
UC-2918,UC-GL-761,デプロイメント管理,デプロイメント管理のテスト環境への配置,❌
UC-2919,UC-GL-762,デプロイメント管理,デプロイメント管理のテナント別のリリース計画,❌
UC-2920,UC-GL-763,デプロイメント管理,デプロイメント管理のテナント別ロールアウト,❌
UC-2921,UC-GL-764,デプロイメント管理,デプロイメント管理のデプロイに伴うDB変更の管理,❌
UC-2922,UC-GL-765,デプロイメント管理,デプロイメント管理のデプロイメントのSLA管理,❌
UC-2923,UC-GL-766,デプロイメント管理,デプロイメント管理のデプロイメントのトレーサビリティ,❌
UC-2924,UC-GL-768,デプロイメント管理,デプロイメント管理のデプロイメントスケジュール管理,❌
UC-2925,UC-GL-769,デプロイメント管理,デプロイメント管理のデプロイメント前検証,❌
UC-2926,UC-GL-770,デプロイメント管理,デプロイメント管理のデプロイメント手順標準化,❌
UC-2927,UC-GL-771,デプロイメント管理,デプロイメント管理のデプロイメント自動化,❌
UC-2928,UC-GL-772,デプロイメント管理,デプロイメント管理のデプロイメント計画の策定,❌
UC-2929,UC-GL-773,デプロイメント管理,デプロイメント管理のデプロイ候補の選定,❌
UC-2930,UC-GL-774,デプロイメント管理,デプロイメント管理のデプロイ前のリスク評価,❌
UC-2931,UC-GL-775,デプロイメント管理,デプロイメント管理のデプロイ失敗の検知と回復,❌
UC-2932,UC-GL-776,デプロイメント管理,デプロイメント管理のデプロイ失敗時の切り戻し,❌
UC-2933,UC-GL-777,デプロイメント管理,デプロイメント管理のデプロイ後の影響観測,❌
UC-2934,UC-GL-778,デプロイメント管理,デプロイメント管理のデプロイ成功判定,❌
UC-2935,UC-GL-779,デプロイメント管理,デプロイメント管理のデプロイ運用の継続的改善,❌
UC-2936,UC-GL-780,デプロイメント管理,デプロイメント管理のデータベースマイグレーション連携,❌
UC-2937,UC-GL-781,デプロイメント管理,デプロイメント管理のドキュメント同時更新,❌
UC-2938,UC-GL-782,デプロイメント管理,デプロイメント管理のバックアウト手順のリハーサル,❌
UC-2939,UC-GL-783,デプロイメント管理,デプロイメント管理のバージョン互換性の担保,❌
UC-2940,UC-GL-784,デプロイメント管理,デプロイメント管理のバージョン管理,❌
UC-2941,UC-GL-785,デプロイメント管理,デプロイメント管理のパイプライン連携,❌
UC-2942,UC-GL-786,デプロイメント管理,デプロイメント管理のビッグバンデプロイ,❌
UC-2943,UC-GL-787,デプロイメント管理,デプロイメント管理のフィーチャーフラグ切替,❌
UC-2944,UC-GL-788,デプロイメント管理,デプロイメント管理のフェーズドデプロイ,❌
UC-2945,UC-GL-789,デプロイメント管理,デプロイメント管理のブルーグリーンデプロイ,❌
UC-2946,UC-GL-790,デプロイメント管理,デプロイメント管理のブループリント管理,❌
UC-2947,UC-GL-791,デプロイメント管理,デプロイメント管理のホットフィックス展開,❌
UC-2948,UC-GL-792,デプロイメント管理,デプロイメント管理のポストデプロイ検証,❌
UC-2949,UC-GL-793,デプロイメント管理,デプロイメント管理のメンテナンス告知,❌
UC-2950,UC-GL-794,デプロイメント管理,デプロイメント管理のライセンス配布,❌
UC-2951,UC-GL-795,デプロイメント管理,デプロイメント管理のリハーサル/予行,❌
UC-2952,UC-GL-797,デプロイメント管理,デプロイメント管理のリリースウィンドウ調整,❌
UC-2953,UC-GL-798,デプロイメント管理,デプロイメント管理のリリースカレンダーの同期,❌
UC-2954,UC-GL-799,デプロイメント管理,デプロイメント管理のリリースコミュニケーション標準化,❌
UC-2955,UC-GL-800,デプロイメント管理,デプロイメント管理のリリースノート連携,❌
UC-2956,UC-GL-801,デプロイメント管理,デプロイメント管理のリリースパッケージの標準化,❌
UC-2957,UC-GL-802,デプロイメント管理,デプロイメント管理のリリース後レビュー,❌
UC-2958,UC-GL-803,デプロイメント管理,デプロイメント管理のリリース成果の測定,❌
UC-2959,UC-GL-804,デプロイメント管理,デプロイメント管理のリリース承認ログの保持,❌
UC-2960,UC-GL-806,デプロイメント管理,デプロイメント管理のリージョン別の展開計画,❌
UC-2961,UC-GL-807,デプロイメント管理,デプロイメント管理のログ取得,❌
UC-2962,UC-GL-808,デプロイメント管理,デプロイメント管理のローリングデプロイ,❌
UC-2963,UC-GL-809,デプロイメント管理,デプロイメント管理のロールバック基準の明確化,❌
UC-2964,UC-GL-810,デプロイメント管理,デプロイメント管理のロールバック実行,❌
UC-2965,UC-GL-811,デプロイメント管理,デプロイメント管理のロールバック計画,❌
UC-2966,UC-GL-812,デプロイメント管理,デプロイメント管理のロールフォワード戦略,❌
UC-2967,UC-GL-813,デプロイメント管理,デプロイメント管理の一時的な監視強化,❌
UC-2968,UC-GL-814,デプロイメント管理,デプロイメント管理の不要コンポーネントの撤去,❌
UC-2969,UC-GL-815,デプロイメント管理,デプロイメント管理の並列展開/逐次展開,❌
UC-2970,UC-GL-816,デプロイメント管理,デプロイメント管理の事前影響範囲の説明,❌
UC-2971,UC-GL-817,デプロイメント管理,デプロイメント管理の依存サービスの互換性確認,❌
UC-2972,UC-GL-818,デプロイメント管理,デプロイメント管理の依存サービスの同期,❌
UC-2973,UC-GL-819,デプロイメント管理,デプロイメント管理の依存モジュールの更新管理,❌
UC-2974,UC-GL-820,デプロイメント管理,デプロイメント管理の依存関係確認,❌
UC-2975,UC-GL-821,デプロイメント管理,デプロイメント管理の健全性チェック,❌
UC-2976,UC-GL-822,デプロイメント管理,デプロイメント管理の再実行/再配布の管理,❌
UC-2977,UC-GL-823,デプロイメント管理,デプロイメント管理の再現性検証,❌
UC-2978,UC-GL-824,デプロイメント管理,デプロイメント管理の品質チェックリスト運用,❌
UC-2979,UC-GL-825,デプロイメント管理,デプロイメント管理の地域別ロールアウト,❌
UC-2980,UC-GL-826,デプロイメント管理,デプロイメント管理の変更凍結の運用,❌
UC-2981,UC-GL-827,デプロイメント管理,デプロイメント管理の変更凍結期間の考慮,❌
UC-2982,UC-GL-828,デプロイメント管理,デプロイメント管理の変更差分の最小化,❌
UC-2983,UC-GL-829,デプロイメント管理,デプロイメント管理の対象環境の識別,❌
UC-2984,UC-GL-830,デプロイメント管理,デプロイメント管理の展開ウィンドウの最適化,❌
UC-2985,UC-GL-831,デプロイメント管理,デプロイメント管理の展開履歴管理,❌
UC-2986,UC-GL-832,デプロイメント管理,デプロイメント管理の展開工数の削減,❌
UC-2987,UC-GL-833,デプロイメント管理,デプロイメント管理の展開後の検証レポート,❌
UC-2988,UC-GL-834,デプロイメント管理,デプロイメント管理の展開後の監視強化,❌
UC-2989,UC-GL-835,デプロイメント管理,デプロイメント管理の展開範囲の限定,❌
UC-2990,UC-GL-836,デプロイメント管理,デプロイメント管理の展開順序制御,❌
UC-2991,UC-GL-837,デプロイメント管理,デプロイメント管理の影響の可視化と通知,❌
UC-2992,UC-GL-838,デプロイメント管理,デプロイメント管理の影響評価,❌
UC-2993,UC-GL-839,デプロイメント管理,デプロイメント管理の復旧手順整備,❌
UC-2994,UC-GL-840,デプロイメント管理,デプロイメント管理の成果物のプロモーション,❌
UC-2995,UC-GL-841,デプロイメント管理,デプロイメント管理の成果物の保管/廃棄,❌
UC-2996,UC-GL-842,デプロイメント管理,デプロイメント管理の手動ゲート,❌
UC-2997,UC-GL-843,デプロイメント管理,デプロイメント管理の承認ゲートの設置,❌
UC-2998,UC-GL-844,デプロイメント管理,デプロイメント管理の承認ログ,❌
UC-2999,UC-GL-845,デプロイメント管理,デプロイメント管理の本番環境への配置,❌
UC-3000,UC-GL-846,デプロイメント管理,デプロイメント管理の構成の同期,❌
UC-3001,UC-GL-847,デプロイメント管理,デプロイメント管理の構成変更の影響確認,❌
UC-3002,UC-GL-848,デプロイメント管理,デプロイメント管理の構成変更の適用,❌
UC-3003,UC-GL-849,デプロイメント管理,デプロイメント管理の構成差分の自動検知,❌
UC-3004,UC-GL-850,デプロイメント管理,デプロイメント管理の段階的ユーザ通知,❌
UC-3005,UC-GL-851,デプロイメント管理,デプロイメント管理の段階的ロールアウト,❌
UC-3006,UC-GL-852,デプロイメント管理,デプロイメント管理の段階的承認フロー,❌
UC-3007,UC-GL-853,デプロイメント管理,デプロイメント管理の環境クリーンアップ,❌
UC-3008,UC-GL-854,デプロイメント管理,デプロイメント管理の環境差分の最小化,❌
UC-3009,UC-GL-855,デプロイメント管理,デプロイメント管理の環境設定のパラメータ化,❌
UC-3010,UC-GL-857,デプロイメント管理,デプロイメント管理の監視連携,❌
UC-3011,UC-GL-858,デプロイメント管理,デプロイメント管理の緊急リリース,❌
UC-3012,UC-GL-859,デプロイメント管理,デプロイメント管理の緊急展開の特例運用,❌
UC-3013,UC-GL-860,デプロイメント管理,デプロイメント管理の自動テストとの連携,❌
UC-3014,UC-GL-861,デプロイメント管理,デプロイメント管理の複数環境の同期,❌
UC-3015,UC-GL-862,デプロイメント管理,デプロイメント管理の設定のバックアップ,❌
UC-3016,UC-GL-863,デプロイメント管理,デプロイメント管理の設定配布,❌
UC-3017,UC-GL-864,デプロイメント管理,デプロイメント管理の通知配信,❌
UC-3018,UC-GL-865,デプロイメント管理,デプロイメント管理の運用ウィンドウの確保,❌
UC-3019,UC-GL-866,デプロイメント管理,デプロイメント管理の運用停止/停止時間の最小化,❌
UC-3020,UC-GL-867,デプロイメント管理,デプロイメント管理の運用引き継ぎ,❌
UC-3021,UC-GL-868,デプロイメント管理,デプロイメント管理の運用手順書更新,❌
UC-3022,UC-GL-869,デプロイメント管理,デプロイメント管理の配布対象の棚卸し,❌
UC-3023,UC-GL-870,デプロイメント管理,デプロイメント管理の開発環境への配置,❌
UC-3024,UC-GL-880,デプロイメント管理,変更→デプロイ要求,❌
UC-3025,UC-GL-767,デプロイメント管理,デプロイメント管理のデプロイメントの監査証跡,❌
UC-3026,UC-GL-796,デプロイメント管理,デプロイメント管理のリリースKPIの追跡,❌
UC-3027,UC-GL-805,デプロイメント管理,デプロイメント管理のリリース資産の署名/検証,❌
UC-3028,UC-GL-856,デプロイメント管理,デプロイメント管理の監査証跡保持,❌
UC-3029,UC-WM-03,デプロイメント管理,`N8N_WORKFLOWS_TOKEN` で認証し、不正参照（漏えい）を防ぐ（未認証は拒否する）,❌
UC-3030,UC-WM-02,デプロイメント管理,カタログ API（get）でワークフロー詳細を取得する（クライアントが実行候補を構築するため）,❌
UC-3031,UC-WM-01,デプロイメント管理,カタログ API（list）で利用可能なワークフロー一覧を取得する（クライアント参照）,❌
UC-3032,UC-WM-05,デプロイメント管理,クライアント互換を壊さない（list/get の contract を維持し、変更時は OQ で互換性を確認する）,❌
UC-3033,UC-WM-04,デプロイメント管理,代表的なサービス制御（例: Sulu 起動/停止）を実行し、入力 validation と安全側の失敗を保証する,❌
UC-3701,UC-GL-148,人材・タレント管理,人材・タレント管理のKPI/指標定義,❌
UC-3702,UC-GL-149,人材・タレント管理,人材・タレント管理のガバナンスと方針運用の整備,❌
UC-3703,UC-GL-150,人材・タレント管理,人材・タレント管理のステークホルダー/関係者調整,❌
UC-3704,UC-GL-151,人材・タレント管理,人材・タレント管理のツール/データ整備,❌
UC-3705,UC-GL-152,人材・タレント管理,人材・タレント管理のリスク/例外レビュー,❌
UC-3706,UC-GL-153,人材・タレント管理,人材・タレント管理のリスクと例外の管理,❌
UC-3707,UC-GL-154,人材・タレント管理,人材・タレント管理のレビュー/監査の実施,❌
UC-3708,UC-GL-155,人材・タレント管理,人材・タレント管理のロードマップ策定,❌
UC-3709,UC-GL-156,人材・タレント管理,人材・タレント管理の主要関係者の合意形成,❌
UC-3710,UC-GL-157,人材・タレント管理,人材・タレント管理の変更影響の分析,❌
UC-3711,UC-GL-158,人材・タレント管理,人材・タレント管理の定期レビュー/報告,❌
UC-3712,UC-GL-159,人材・タレント管理,人材・タレント管理の実行計画の策定,❌
UC-3713,UC-GL-160,人材・タレント管理,人材・タレント管理の役割/責任（RACI）定義,❌
UC-3714,UC-GL-161,人材・タレント管理,人材・タレント管理の意思決定基準の明文化,❌
UC-3715,UC-GL-162,人材・タレント管理,人材・タレント管理の成果物の記録/版管理,❌
UC-3716,UC-GL-163,人材・タレント管理,人材・タレント管理の指標の定義と可視化,❌
UC-3717,UC-GL-164,人材・タレント管理,人材・タレント管理の改善施策の優先順位付け,❌
UC-3718,UC-GL-165,人材・タレント管理,人材・タレント管理の教育/オンボーディング,❌
UC-3719,UC-GL-166,人材・タレント管理,人材・タレント管理の教育/展開/浸透,❌
UC-3720,UC-GL-167,人材・タレント管理,人材・タレント管理の方針/ポリシー策定,❌
UC-3721,UC-GL-168,人材・タレント管理,人材・タレント管理の標準/ガイドライン整備,❌
UC-3722,UC-GL-169,人材・タレント管理,人材・タレント管理の現状評価/ギャップ分析,❌
UC-3723,UC-GL-170,人材・タレント管理,人材・タレント管理の目標/ターゲット設定,❌
UC-3724,UC-GL-171,人材・タレント管理,人材・タレント管理の運用手順と標準の整備,❌
